basename,pages,total_chars,total_words,total_lines
bk/energy/bill_2010.jpg,-1,1926,330,149
bk/energy/bill_2010_2.jpg,-1,1615,230,54
bk/energy/bill_2011.jpg,-1,2438,375,97
bk/energy/bill_2012.jpg,-1,1890,313,121
bk/energy/bill_2013.jpg,-1,2926,468,115
bk/energy/bill_2014.jpg,-1,2088,412,94
bk/energy/bill_2014_1.jpg,-1,2932,440,97
bk/energy/bill_2016.jpg,-1,2673,434,69
bk/energy/bill_2017.jpg,-1,2697,437,96
bk/energy/bill_2018.jpg,-1,2419,407,94
bk/energy/bill_2019.jpg,-1,1771,404,119
bk/energy/bill_2019_1.jpg,-1,2698,442,89
bk/energy/bill_2020.jpg,-1,2939,476,93
bk/energy/bill_2021.jpg,-1,2395,479,78
bk/energy/bill_2021_1.jpg,-1,1726,344,58
bk/energy/bill_2022.jpg,-1,2887,453,82
bk/energy/bill_2023.jpg,-1,2176,312,62
